id;price;publish_date;location;address;title;owner;description;viewed_counter
1;455;2021-01-18;Gliwice;Akademicka 2;Ko?o;W?a?ciciel;Tuna Ergonomic;2
2;321;2020-02-12;Katowice;Krótka 1;Opona;W?a?ciciel;yellow access bypass;3
3;234;2020-06-23;Warszawa;Marsza?kowska 45;Mikrofalówka;W?a?ciciel;Human;4
4;170;2021-01-03;Bombaj;Long St 156;Termos;W?a?ciciel;Senior;4
5;23;2019-02-11;Norfolk Island;Test;Buty;W?a?ciciel;Pizza Berkshire Computer;2
6;1;2020-02-28;Gdynia;Westerplatte 65;Pizza;W?a?ciciel;Berkshire Small override;5
7;34;2021-02-11;Londyn;Test;S?uchawki;W?a?ciciel;Unbranded auxiliary;2
8;54;2020-02-01;Iran;Test;D?em;W?a?ciciel;American Samoa Views heuristic;4
9;4542;2021-02-21;Czechy;Testqwe;Frytki;W?a?ciciel;invoice Unbranded Metal Pants microchip;3
10;786;2021-02-25;Islandia;Test;Function-based Practical Shirt;W?a?ciciel;Kids;1

